id,battle_type,winner,votes_winner,votes_loser,votes_nv,votes_ot,overtime,notes
LZF0v6ZGFcE,judged,Apoc,3,2,0,0,no,Age-restricted video because English Conference battle; Anygma as one of the judges
Ld9rnVTawyI,judged,Don Rafael,3,0,0,0,no,none
LlbgujCVl60,judged,Pistolero,5,0,0,0,no,none
LrwoGdSVk2g,judged,Emar Industriya,5,0,0,0,no,none
M7kbMc8jB8w,judged,Harlem,5,0,0,0,no,none
MJ3FvP8rMYM,judged,Cerberus,5,0,0,0,no,none
MJfuZgAswwo,judged,CripLi,5,0,0,0,no,none
MJtecK4g_28,judged,Castillo,3,2,0,0,no,none
MKVY095Hkio,judged,Fangs,5,0,0,0,no,none
MLBMHkQFwL8,judged,YoungOne,5,0,0,0,no,none
MPLaQWJdYGM,judged,Plazma,7,0,0,0,no,none
MRzSDjWCa9k,judged,Tweng,5,0,0,0,no,none
MVCJ6hz4er4,judged,EJ Power,3,2,0,0,no,none
Mbj4cNZ2Odc,judged,Mhot,5,0,0,0,no,none
Mc-VCIp6fQU,judged,Batas,5,0,0,0,no,none
MdSdkmoa1Xw,judged,Yuniko,5,0,0,0,no,none
MdUa4sv14PU,judged,M Zhayt,5,0,0,0,no,none
MdyybZ9wfuA,judged,Batang Rebelde,5,0,0,0,yes,5 votes for BR after OT; no indication of what the vote was before OT
MfH1NaCu7Ps,judged,Poison13,7,0,0,0,no,none
MgKrJe2jAnk,judged,Apekz,5,0,0,0,no,none
MsUnIHqWlmY,judged,One Lie Ace,2,1,0,0,no,none
MsXnLddzvRs,judged,Sinio,3,2,0,0,no,none
MuwryF_LOOs,judged,G-Clown,4,3,0,0,no,none
Mx5lYX_-j4U,judged,Invictus,6,1,0,0,no,none
Mx95efchRkU,judged,Fukuda,3,2,0,0,no,none
N10ooYf54rs,judged,Acid,3,0,0,0,no,none
N7wtQe0VY4w,judged,Yuniko,5,0,0,0,no,none
N8ynbj4BX0Y,judged,Supremo,3,0,0,0,no,none
